This is the complete list of games supported by MAME 0.79 (Jan 28 2004).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Game Name                        |Working|Colors | Sound | Flip  |   Name   |
+----------------------------------+-------+-------+-------+-------+----------+
| '88 Games                        |  Yes  |  Yes  |  Yes  |  Yes  | 88games  |
| (Medal) Yumefuda                 |   No  |  Yes  |   No  |  Yes  | yumefuda |
| 005                              |  Yes  |  Yes  |   No  |  Yes  | 005      |
| 10 Yard Fight                    |  Yes  |  Yes  |  Yes  |  Yes  | yard     |
| 1941 - Counter Attack            |  Yes  |  Yes  |  Yes  |  Yes  | 1941     |
| 1942                             |  Yes  |  Yes  |  Yes  |  Yes  | 1942     |
| 1943 - The Battle of Midway      |  Yes  |  Yes  |  Yes  |  Yes  | 1943     |
| 1943 Kai - Midway Kaisen         |  Yes  |  Yes  |  Yes  |  Yes  | 1943kai  |
| 1944: The Loop Master            |  Yes  |  Yes  |  Yes  |  Yes  | 1944     |
| 19XX: The War Against Destiny    |  Yes  |  Yes  |  Yes  |  Yes  | 19xx     |
| 2 On 2 Open Ice Challenge        |  Yes  |  Yes  |  Yes  |  Yes  | openice  |
| 2020 Super Baseball              |  Yes  |  Yes  |  Yes  |  Yes  | 2020bb   |
| 3 Count Bout / Fire Suplex       |  Yes  |  Yes  |  Yes  |  Yes  | 3countb  |
| 3-in-1                           |   No  |  Yes  |  Yes  |  Yes  | 3in1semi |
| 4 En Raya                        |  Yes  |  Yes  |  Yes  |  Yes  | 4enraya  |
| 4 Fun in 1                       |  Yes  |  Yes  |Partial|  Yes  | 4in1     |
| 4 Player Bowling Alley           |  Yes  |  Yes  |   No  |  Yes  | bowler   |
| 4-D Warriors                     |  Yes  |  Yes  |  Yes  |  Yes  | 4dwarrio |
| 4-in-1 bootleg                   |   No  |  Yes  |  Yes  |  Yes  | 4in1boot |
| 64th. Street - A Detective Story |  Yes  |  Yes  |  Yes  |  Yes  | 64street |
| 720 Degrees                      |  Yes  |  Yes  |  Yes  |  Yes  | 720      |
| 7jigen no Youseitachi - Mahjong 7|  Yes  |  Yes  |  Yes  |  Yes  | 7jigen   |
| APB - All Points Bulletin        |  Yes  |  Yes  |  Yes  |  Yes  | apb      |
| ASO - Armored Scrum Object       |  Yes  |  Yes  |  Yes  |   No  | aso      |
| AV2Mahjong No.1 Bay Bridge no Sei|   No  |  Yes  |  Yes  |  Yes  | av2mj1bb |
| AV2Mahjong No.2 Rouge no Kaori   |   No  |  Yes  |  Yes  |  Yes  | av2mj2rg |
| Ace                              |  Yes  | Close |   No  |  Yes  | ace      |
| Ace Attacker                     |   No  |  Yes  |  Yes  |  Yes  | aceattac |
| Ace Driver                       |   No  |  Yes  |   No  |  Yes  | acedrvrw |
| Ace Driver: Victory Lap          |   No  |  Yes  |   No  |  Yes  | victlapw |
| Acrobat Mission                  |  Yes  |  Yes  |   No  |  Yes  | acrobatm |
| Acrobatic Dog-Fight              |  Yes  |  Yes  |  Yes  |  Yes  | dogfgt   |
| Act-Fancer Cybernetick Hyper Weap|  Yes  |  Yes  |  Yes  |  Yes  | actfancr |
| Action Fighter                   |   No  |  Yes  |  Yes  |  Yes  | afighter |
| Adventure Quiz 2 Hatena Hatena no|  Yes  |  Yes  |  Yes  |  Yes  | hatena   |
| Aero Fighters                    |  Yes  |  Yes  |  Yes  |   No  | aerofgt  |
| Aero Fighters 2 / Sonic Wings 2  |  Yes  |  Yes  |  Yes  |  Yes  | sonicwi2 |
| Aero Fighters 3 / Sonic Wings 3  |  Yes  |  Yes  |  Yes  |  Yes  | sonicwi3 |
| After Burner II                  |  Yes  |  Yes  |  Yes  |  Yes  | aburner2 |
| Aggressors of Dark Kombat / Tsuuk|  Yes  |  Yes  |  Yes  |  Yes  | aodk     |
| Ah Eikou no Koshien              |  Yes  |  Yes  |  Yes  |  Yes  | koshien  |
| Air Buster                       |  Yes  |  Yes  |  Yes  |  Yes  | airbustr |
| Air Combat                       |   No  |  Yes  |  Yes  |  Yes  | aircombj |
| Air Combat 22                    |   No  |  Yes  |   No  |  Yes  | airco22b |
| Air Duel                         |  Yes  |  Yes  |  Yes  |  Yes  | airduel  |
| Air Gallet                       |  Yes  |  Yes  |  Yes  |  Yes  | agallet  |
| Air Inferno                      |   No  |  Yes  |  Yes  |  Yes  | ainferno |
| Airwolf                          |  Yes  |  Yes  |  Yes  |  Yes  | airwolf  |
| Ajax                             |  Yes  |  Yes  |  Yes  |  Yes  | ajax     |
| Alex Kidd: The Lost Stars        | No(1) |  Yes  |  Yes  |  Yes  | alexkidd |
| Ali Baba and 40 Thieves          |   No  |  Yes  |  Yes  |  Yes  | alibaba  |
| Alien Storm                      | No(1) |  Yes  |  Yes  |  Yes  | astorm   |
| Alien Syndrome                   |  Yes  |  Yes  |  Yes  |  Yes  | aliensyn |
| Alien vs. Predator               |  Yes  |  Yes  |  Yes  |  Yes  | avsp     |
| Aliens                           |  Yes  |  Yes  |  Yes  |  Yes  | aliens   |
| Alien³: The Gun                  |  Yes  |  Yes  |  Yes  |  Yes  | alien3   |
| All American Football            |  Yes  |  Yes  |  Yes  |  Yes  | aafb     |
| Alley Master                     |  Yes  |  Yes  |  Yes  |  Yes  | alleymas |
| Alligator Hunt                   | No(1) |  Yes  |  Yes  |  Yes  | aligator |
| Alpha Fighter / Head On          |  Yes  |   No  | Yes(2)|  Yes  | alphaho  |
| Alpha Mission II / ASO II - Last |  Yes  |  Yes  |  Yes  |  Yes  | alpham2  |
| Alpine Racer                     |   No  |  Yes  |   No  |  Yes  | alpinerd |
| Alpine Ski                       |  Yes  |  Yes  |  Yes  |  Yes  | alpine   |
| Altered Beast                    |  Yes  |  Yes  |  Yes  |  Yes  | altbeast |
| Amazing Adventures of Mr. F. Lea,|  Yes  |  Yes  |  Yes  |  Yes  | mrflea   |
| Amazing Maze                     |  Yes  |  Yes  |   No  |  Yes  | maze     |
| Ambush                           |  Yes  |  Yes  |  Yes  |  Yes  | ambush   |
| AmeriDarts                       |   No  |   No  |   No  |  Yes  | amerdart |
| American Horseshoes              |  Yes  |  Yes  |  Yes  |  Yes  | horshoes |
| American Speedway                |  Yes  |  Yes  |  Yes  |  Yes  | amspdwy  |
| Amidar                           |  Yes  |  Yes  |  Yes  |  Yes  | amidar   |
| Andro Dunos                      |  Yes  |  Yes  |  Yes  |  Yes  | androdun |
| Andromeda                        |   No  | Close |   No  |   No  | andromed |
| Angel Kids                       |  Yes  |  Yes  |  Yes  |  Yes  | angelkds |
| Anteater                         |  Yes  |  Yes  |  Yes  |  Yes  | anteater |
| Apparel Night                    |  Yes  |  Yes  |  Yes  |  Yes  | apparel  |
| Appoooh                          |  Yes  |  Yes  |  Yes  |  Yes  | appoooh  |
| Aqua Jack                        |  Yes  |  Yes  |  Yes  |  Yes  | aquajack |
| Aqua Rush                        |  Yes  |  Yes  |   No  |  Yes  | aquarush |
| Aquarium                         |  Yes  |  Yes  |  Yes  |   No  | aquarium |
| Arabian                          |  Yes  |  Yes  |  Yes  |  Yes  | arabian  |
| Arabian Fight                    |  Yes  |  Yes  |  Yes  |  Yes  | arabfgt  |
| Arabian Magic                    |  Yes  |  Yes  |  Yes  |  Yes  | arabianm |
| Arbalester                       |  Yes  |  Yes  |  Yes  |  Yes  | arbalest |
| Arcade Classics                  |  Yes  |  Yes  |  Yes  |  Yes  | arcadecl |
| Arch Rivals                      |  Yes  |  Yes  |  Yes  |  Yes  | archrivl |
| Area 51                          |  Yes  |  Yes  |  Yes  |  Yes  | area51   |
| Area 51 / Maximum Force Duo v2.0 |  Yes  |  Yes  |  Yes  |  Yes  | area51mx |
| Argus                            |  Yes  |  Yes  |  Yes  |  Yes  | argus    |
| Ark Area                         |  Yes  |  Yes  |  Yes  |  Yes  | arkarea  |
| Arkanoid                         |  Yes  |  Yes  |  Yes  |  Yes  | arkanoid |
| Arkanoid - Revenge of DOH        |  Yes  |  Yes  |  Yes  |  Yes  | arknoid2 |
| Arkanoid Returns                 |  Yes  |  Yes  |  Yes  |  Yes  | arkretrn |
| Arlington Horse Racing           |  Yes  |  Yes  |  Yes  |  Yes  | arlingtn |
| Arm Wrestling                    |  Yes  |  Yes  |  Yes  |  Yes  | armwrest |
| Armed Formation                  |  Yes  |  Yes  |  Yes  |  Yes  | armedf   |
| Armed Police Batrider            |  Yes  |  Yes  |  Yes  |  Yes  | batrider |
| Armor Attack                     |  Yes  |  Yes  | Yes(2)|  Yes  | armora   |
| Armored Car                      |  Yes  |  Yes  |  Yes  |  Yes  | armorcar |
| Armored Warriors                 | No(1) |  Yes  |  Yes  |  Yes  | armwar   |
| Art of Fighting / Ryuuko no Ken  |  Yes  |  Yes  |  Yes  |  Yes  | aof      |
| Art of Fighting 2 / Ryuuko no Ken|  Yes  |  Yes  |  Yes  |  Yes  | aof2     |
| Art of Fighting 3 - The Path of t|  Yes  |  Yes  |  Yes  |  Yes  | aof3     |
| Ashita no Joe                    |  Yes  |  Yes  |Partial|  Yes  | ashnojoe |
| Ashura Blaster                   |  Yes  |  Yes  |  Yes  |  Yes  | ashura   |
| Assault                          |  Yes  |  Yes  |  Yes  |  Yes  | assault  |
| Asterix                          |  Yes  |  Yes  |  Yes  |  Yes  | asterix  |
| Asteroids                        |  Yes  |  Yes  |  Yes  |  Yes  | asteroid |
| Asteroids Deluxe                 |  Yes  |  Yes  |  Yes  |  Yes  | astdelux |
| Astra SuperStars                 |   No  |  Yes  |   No  |  Yes  | astrass  |
| Astro Blaster                    |  Yes  |  Yes  | Yes(2)|  Yes  | astrob   |
| Astro Fighter                    |  Yes  |  Yes  | Yes(2)|  Yes  | astrof   |
| Astro Invader                    |  Yes  |  Yes  | Yes(2)|  Yes  | astinvad |
| Astyanax, The                    |  Yes  |  Yes  |  Yes  |  Yes  | astyanax |
| Asuka & Asuka                    |  Yes  |  Yes  |  Yes  |  Yes  | asuka    |
| Asura Blade - Sword of Dynasty   |  Yes  |  Yes  |  Yes  |  Yes  | asurabld |
| Asylum                           |  Yes  |  Yes  |  Yes  |  Yes  | asylum   |
| Atari Baseball                   |  Yes  |  Yes  |  Yes  |  Yes  | abaseb   |
| Atari Football                   |  Yes  |  Yes  |  Yes  |  Yes  | atarifb  |
| Atari Soccer                     |  Yes  |  Yes  |  Yes  |  Yes  | soccer   |
| Ataxx                            |  Yes  |  Yes  |  Yes  |  Yes  | ataxx    |
| Athena                           |  Yes  |  Yes  |  Yes  |   No  | athena   |
| Athena no Hatena ?               |  Yes  |  Yes  |  Yes  |  Yes  | atehate  |
| Atomic Point                     |  Yes  |  Yes  |   No  |  Yes  | atomicp  |
| Atomic Robo-kid                  |  Yes  |  Yes  |  Yes  |   No  | robokid  |
| Aurail                           |  Yes  |  Yes  |  Yes  |  Yes  | aurail   |
| Avalanche                        |  Yes  |  Yes  |  Yes  |  Yes  | avalnche |
| Avengers                         |  Yes  |  Yes  |  Yes  |  Yes  | avengers |
| Avengers In Galactic Storm       |   No  |  Yes  |  Yes  |  Yes  | avengrgs |
| Avenging Spirit                  |  Yes  |  Yes  |  Yes  |  Yes  | avspirit |
| Aztarac                          |  Yes  |  Yes  |  Yes  |  Yes  | aztarac  |
| Azurian Attack                   |  Yes  |  Yes  |  Yes  |  Yes  | azurian  |
| B-Wings                          |  Yes  |  Yes  |  Yes  |  Yes  | bwing    |
| B.Rap Boys                       |   No  |  Yes  |  Yes  |  Yes  | brapboys |
| BC Story                         |   No  |  Yes  |  Yes  |  Yes  | bcstry   |
| Back Street Soccer               |  Yes  |  Yes  |  Yes  |  Yes  | bssoccer |
| Bad Dudes vs. Dragonninja        |  Yes  |  Yes  |  Yes  |  Yes  | baddudes |
| Bad Lands                        |  Yes  |  Yes  |  Yes  |  Yes  | badlands |
| Bagman                           |  Yes  |  Yes  |  Yes  |  Yes  | bagman   |
| Bakatonosama Mahjong Manyuki     |  Yes  |  Yes  |  Yes  |  Yes  | bakatono |
| Baku Baku Animal                 |  Yes  |  Yes  |   No  |  Yes  | bakubaku |
| Bakuretsu Breaker                |  Yes  |  Yes  |  Yes  |  Yes  | bakubrkr |
| Bakuretsu Quiz Ma-Q Dai Bouken   |  Yes  |  Yes  |Partial|  Yes  | bkrtmaq  |
| Bakutotsu Kijuutei               |  Yes  |  Yes  |  Yes  |  Yes  | bakutotu |
| Bal Cube                         |  Yes  |  Yes  |  Yes  |  Yes  | balcube  |
| Balloon Bomber                   |  Yes  |  Yes  |   No  |  Yes  | ballbomb |
| Balloon Brothers                 |  Yes  |  Yes  |  Yes  |  Yes  | ballbros |
| Baluba-louk no Densetsu          |  Yes  | Close |  Yes  |  Yes  | baluba   |
| Bang Bang Ball                   |  Yes  |  Yes  |  Yes  |  Yes  | bangball |
| Bang Bead                        |  Yes  |  Yes  |  Yes  |  Yes  | bangbead |
| Bang!                            |  Yes  |  Yes  |  Yes  |  Yes  | bang     |
| Bank Panic                       |  Yes  |  Yes  |  Yes  |  Yes  | bankp    |
